Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2016-03-23,95.26221516945061,95.28152900678079,93.41489799540732,93.58869171142578,4983353,0.0,0.0
2016-03-24,93.31831688313734,95.40378938308201,93.00292613861002,95.22999572753906,5276547,0.0,0.0
2016-03-28,95.10128778677536,95.68057952692736,94.7665831529144,95.51966857910156,3415295,0.0,0.0
2016-03-29,94.99832471527886,96.39507487521719,94.9403934701837,96.11830139160156,3282871,0.0,0.0
2016-03-30,96.51734930896325,96.81343657329114,95.46817655448734,95.52610778808594,3484435,0.0,0.0
2016-03-31,96.41438031473885,98.54490208918682,96.13759658191869,97.48285675048828,7092508,0.0,0.0
2016-04-01,96.87779965926511,98.45478462477016,96.71044732681509,98.17156982421875,4106073,0.0,0.0
2016-04-04,98.05571092539535,98.81523781876969,97.77893748447127,97.88192749023438,4112035,0.0,0.0
2016-04-05,97.46996779738065,97.57938888860069,96.32424647757736,96.54953002929688,3490502,0.0,0.0
2016-04-06,96.4851736510489,96.64608461315885,95.13991362708083,96.56240844726562,4387552,0.0,0.0
2016-04-07,95.95095882231017,96.2920946834567,95.26223545510955,95.42315673828125,3831498,0.0,0.0
2016-04-08,95.94450597961118,96.54311171293524,95.3394691487883,96.13117218017578,3445315,0.0,0.0
2016-04-11,96.71688583844868,97.80467596722873,96.04747652843017,96.06678009033203,4023021,0.0,0.0
2016-04-12,96.29849075641468,96.62032289804893,95.63551264078842,96.31136322021484,3761207,0.0,0.0
2016-04-13,97.03227258916529,97.34123229980469,96.31137344655082,97.34123229980469,3314146,0.0,0.0
2016-04-14,97.51502554918552,98.32604221762261,96.79411613651027,97.29617309570312,3322619,0.0,0.0
2016-04-15,97.21895962826109,97.90124152193985,97.1674697565324,97.65665435791016,3825850,0.0,0.0
2016-04-18,97.65664084142023,98.5706373046918,97.50859207071383,98.1780014038086,6884458,0.0,0.0
2016-04-19,94.2774264166656,94.58638621167906,91.79287558787571,92.68756866455078,13796949,0.0,0.0
2016-04-20,92.8420547507152,94.74730352252504,92.68757484291118,94.04570770263672,7064998,0.0,0.0
2016-04-21,94.34821788844816,96.62677810269803,94.27097281305863,96.0989761352539,6294514,0.0,0.0
2016-04-22,96.18906941217196,97.19318322570587,94.94035824047936,95.58402252197266,5430727,0.0,0.0
